time	voltage	current	power
2.29	2.54	0.248	0.630
3.44	2.54	0.248	0.630
4.53	2.54	0.248	0.630
5.59	2.54	0.248	0.630
6.71	2.54	0.248	0.630
7.83	2.54	0.248	0.630
8.91	2.54	0.248	0.630
9.98	2.54	0.248	0.630
11.08	2.54	0.248	0.630
12.16	2.54	0.248	0.630
13.27	2.54	0.248	0.630
14.36	2.54	0.248	0.630
15.50	2.54	0.248	0.630
16.63	2.54	0.248	0.630
17.72	2.54	0.248	0.630
18.83	2.54	0.248	0.630
20.06	2.54	0.248	0.630
21.14	2.54	0.248	0.630
22.24	2.54	0.248	0.630
23.35	2.54	0.248	0.630
24.50	2.54	0.248	0.630
25.59	2.54	0.248	0.630
26.69	2.54	0.248	0.630
